,features,importance
4,str_cho,0.005593844671998888
9,sem_fun,0.018189250663136997
3,str_itg,0.03379775810847058
10,sem_nam,0.039949249766266064
8,str_be,0.04064897925184334
6,str_ci,0.04913609971852267
2,vis_siz,0.07769762341980996
7,str_fe,0.1605583522663018
0,vis_col,0.1989043744036474
1,vis_its,0.287373511437378
5,str_vbl,0.5370189673337589
11,sem_rel,0.9903847616983077
