place1,place2,rel1,rel2,eql_num,query_num,familiarity,role
WC-H,K32,2,3,0,2,unfamiliar,stu
WC-H,Elevator,1,1,0,2,unfamiliar,stu
K32,Elevator,0,6,0,2,unfamiliar,stu
WC-L,Elevator,0,2,0,2,unfamiliar,stu
WC-L,L40,2,0,0,2,unfamiliar,stu
WC-L,L12,1,0,1,2,unfamiliar,stu
WC-L,K32,2,0,0,2,unfamiliar,stu
WC-L,WC-K,0,2,0,2,unfamiliar,stu
Elevator,L40,4,0,0,2,unfamiliar,stu
L40,L12,0,3,0,2,unfamiliar,stu
L40,WC-K,0,1,0,2,unfamiliar,stu
WC-K,WC-J,1,2,1,2,unfamiliar,stu
Elevator,WC-J,2,0,0,2,unfamiliar,stu
L11,WC-K,0,1,0,2,unfamiliar,stu
L11,Elevator,0,4,0,2,unfamiliar,stu
WC-K,H38,1,2,0,2,unfamiliar,stu
H38,Elevator,1,1,0,2,unfamiliar,stu
L11,H79,0,4,0,2,unfamiliar,stu
H79,J10,10,2,0,2,unfamiliar,stu
H79,H38,1,4,1,2,unfamiliar,stu
H79,H92,2,1,5,2,unfamiliar,stu
H79,K32,3,5,1,2,unfamiliar,stu
WC-K,H79,0,1,0,2,unfamiliar,stu
H79,Elevator,0,2,0,2,unfamiliar,stu
J10,WC-L,1,1,0,2,unfamiliar,stu
WC-H,WC-L,1,0,0,2,unfamiliar,stu
WC-H,WC-J,4,1,0,2,unfamiliar,stu
WC-L,WC-J,0,1,0,2,unfamiliar,stu
WC-J,H79,2,6,0,2,unfamiliar,stu
H92,WC-H,0,2,0,2,unfamiliar,stu
WC-H,H79,2,0,1,2,unfamiliar,stu
L12,H92,0,1,0,2,unfamiliar,stu
L12,H79,0,1,0,2,unfamiliar,stu
K13,H79,1,2,0,2,unfamiliar,stu
K13,H92,1,1,0,2,unfamiliar,stu
L11,WC-H,0,2,0,2,unfamiliar,stu
L40,H79,0,1,0,2,unfamiliar,stu
L40,WC-H,0,1,0,2,unfamiliar,stu
H38,WC-H,0,2,1,2,unfamiliar,stu
WC-L,L11,0,1,0,2,unfamiliar,stu
K13,H38,0,2,0,2,unfamiliar,stu
Elevator,WC-J,1,0,0,2,unfamiliar,stu
Elevator,J10,2,0,0,2,unfamiliar,stu
Elevator,K32,2,0,0,2,unfamiliar,stu
Elevator,H92,1,0,0,2,unfamiliar,stu
Elevator,H79,2,0,0,2,unfamiliar,stu
K13,Elevator,0,1,0,2,unfamiliar,stu
H38,Elevator,0,1,0,2,unfamiliar,stu
