,fold,role,familiarity,test set size,hit number,HR
0,13,staff,familiar,14,10,0.7142857142857143
1,13,staff,unfamiliar,15,11,0.7333333333333333
2,13,student,familiar,11,5,0.45454545454545453
3,13,student,unfamiliar,11,5,0.45454545454545453
