,fold,role,familiarity,test set size,hit number,HR
0,3,staff,familiar,13,10,0.7692307692307693
1,3,staff,unfamiliar,14,9,0.6428571428571429
2,3,student,familiar,11,9,0.8181818181818182
3,3,student,unfamiliar,13,9,0.6923076923076923
