,fold,role,familiarity,test set size,hit number,HR
0,15,staff,familiar,10,8,0.8
1,15,staff,unfamiliar,9,4,0.4444444444444444
2,15,student,familiar,14,10,0.7142857142857143
3,15,student,unfamiliar,13,8,0.6153846153846154
