,fold,role,familiarity,test set size,hit number,HR
0,10,staff,familiar,16,12,0.75
1,10,staff,unfamiliar,16,7,0.4375
2,10,student,familiar,13,6,0.46153846153846156
3,10,student,unfamiliar,13,6,0.46153846153846156
