,features,importance_gain
0,color,55.861626700730994
1,intensity,376.9762964397669
2,shape_size,12.9058424718678
3,integration,4.527471035718918
4,choice,0.0
5,visibility,13.401595778763294
6,proximity2dp,61.64315974712372
7,proximity2fe,71.21625086665154
8,proximity2be,7.4864799827337265
9,uniqueness,0.0
10,wellknownness,0.08509069681167603
11,relevance,100.8557127656677
