,features,importance_gain
0,color,3.7078800201416016
1,intensity,7.668560028076172
2,shape_size,0.0
3,integration,4.92533016204834
4,choice,0.0
5,visibility,1.5422699451446533
6,proximity2dp,0.0
7,proximity2fe,1.1528500318527222
8,proximity2be,16.962099075317383
9,uniqueness,0.0
10,wellknownness,0.0
11,relevance,0.7912273183465004
