role,name,count_role,count_name,count_occ_1,count_occ_2
staff,seminar,10100000000,467000000,183000000,374000000
staff,toilet,10100000000,1010000000,365000000,440000000
staff,library,10100000000,5510000000,3260000000,3280000000
staff,it service,10100000000,23600000,30200000,29800000
staff,meeting,10100000000,3670000000,2140000000,2050000000
staff,elevator,10100000000,229000000,390000000,365000000
staff,coffee,10100000000,3360000000,1670000000,1670000000
staff,image material,10100000000,2310000,133000,137000
staff,secretary,10100000000,960000000,741000000,912000000
staff,service,10100000000,20760000000,10570000000,10240000000
staff,computer,10100000000,5690000000,5100000000,5430000000
student,seminar,5540000000,467000000,224000000,363000000
student,toilet,5540000000,1010000000,252000000,221000000
student,library,5540000000,5510000000,2510000000,2930000000
student,it service,5540000000,23600000,14500000,14800000
student,meeting,5540000000,3670000000,1320000000,1520000000
student,elevator,5540000000,229000000,98900000,105000000
student,coffee,5540000000,3360000000,1160000000,256000000
student,image material,5540000000,2310000,195000,203000
student,secretary,5540000000,960000000,483000000,596000000
student,service,5540000000,20760000000,3980000000,7060000000
student,computer,5540000000,5690000000,3430000000,3380000000
