max_depth,HR,MAE,nDCG
1,0.5606036019912906,0.920770218707144,0.6220421865420775
2,0.723879862482032,0.7186923385891265,0.7237585389250376
3,0.6907650363032231,0.6828413735255714,0.7390972274079575
4,0.7102549950514938,0.6745766391268121,0.759449386425389
5,0.7006754603198293,0.6773456785266613,0.7683031407490466
6,0.7026314151155407,0.670888023150539,0.7705758341033594
7,0.6967490621743643,0.6767776974882376,0.7608325352790781
8,0.6894081947929289,0.6774389833118278,0.7570870711691694
9,0.6967490621743643,0.6780555874260746,0.763336363646734
10,0.6967490621743643,0.6780555874260746,0.763336363646734
11,0.6967490621743643,0.6780555874260746,0.763336363646734
12,0.6967490621743643,0.6780555874260746,0.763336363646734
13,0.6967490621743643,0.6780555874260746,0.763336363646734
14,0.6967490621743643,0.6780555874260746,0.763336363646734
15,0.6967490621743643,0.6780555874260746,0.763336363646734
16,0.6967490621743643,0.6780555874260746,0.763336363646734
17,0.6967490621743643,0.6780555874260746,0.763336363646734
18,0.6967490621743643,0.6780555874260746,0.763336363646734
19,0.6967490621743643,0.6780555874260746,0.763336363646734
20,0.6967490621743643,0.6780555874260746,0.763336363646734
21,0.6967490621743643,0.6780555874260746,0.763336363646734
22,0.6967490621743643,0.6780555874260746,0.763336363646734
23,0.6967490621743643,0.6780555874260746,0.763336363646734
24,0.6967490621743643,0.6780555874260746,0.763336363646734
25,0.6967490621743643,0.6780555874260746,0.763336363646734
26,0.6967490621743643,0.6780555874260746,0.763336363646734
27,0.6967490621743643,0.6780555874260746,0.763336363646734
28,0.6967490621743643,0.6780555874260746,0.763336363646734
29,0.6967490621743643,0.6780555874260746,0.763336363646734
30,0.6967490621743643,0.6780555874260746,0.763336363646734
31,0.6967490621743643,0.6780555874260746,0.763336363646734
32,0.6967490621743643,0.6780555874260746,0.763336363646734
33,0.6967490621743643,0.6780555874260746,0.763336363646734
34,0.6967490621743643,0.6780555874260746,0.763336363646734
35,0.6967490621743643,0.6780555874260746,0.763336363646734
36,0.6967490621743643,0.6780555874260746,0.763336363646734
37,0.6967490621743643,0.6780555874260746,0.763336363646734
38,0.6967490621743643,0.6780555874260746,0.763336363646734
39,0.6967490621743643,0.6780555874260746,0.763336363646734
40,0.6967490621743643,0.6780555874260746,0.763336363646734
41,0.6967490621743643,0.6780555874260746,0.763336363646734
42,0.6967490621743643,0.6780555874260746,0.763336363646734
43,0.6967490621743643,0.6780555874260746,0.763336363646734
44,0.6967490621743643,0.6780555874260746,0.763336363646734
45,0.6967490621743643,0.6780555874260746,0.763336363646734
46,0.6967490621743643,0.6780555874260746,0.763336363646734
47,0.6967490621743643,0.6780555874260746,0.763336363646734
48,0.6967490621743643,0.6780555874260746,0.763336363646734
49,0.6967490621743643,0.6780555874260746,0.763336363646734
50,0.6967490621743643,0.6780555874260746,0.763336363646734
