num_leaves,HR,MAE,nDCG
2,0.6012819502921986,0.8236680095199064,0.7018554252867358
3,0.6822351465533119,0.7218060549899665,0.7118688659617457
4,0.6862269975512663,0.7283995482332424,0.7283942697398598
5,0.7503650065704246,0.7017970873126325,0.7715590621316947
6,0.7443382502277361,0.6823791110430516,0.7517738564380354
7,0.7670974291647087,0.6617181806198432,0.7598757212284136
8,0.7309577959792862,0.6461635967535375,0.758933120848918
9,0.733932266081784,0.6395052464982345,0.7675658523542616
10,0.744058065149963,0.6443274810226371,0.7584436540338686
11,0.7526853561359016,0.6403677963608911,0.7676378000666425
12,0.7401104354445376,0.6328787042534019,0.7694695690009972
13,0.7493298598681245,0.619350078013337,0.7714224824510867
14,0.7524090247119952,0.6195654082561617,0.7817450139320483
15,0.7463715468752092,0.6153278633018617,0.768844232108691
16,0.7405955430173642,0.6227201677800587,0.7652236437183566
17,0.7507825182261535,0.6121204140530294,0.7850772392297102
18,0.7358006079155235,0.6228100642850691,0.7721064016885287
19,0.7395043912191264,0.621051450669923,0.7742821804703462
20,0.741683040456599,0.6205786589689409,0.7810246861662204
21,0.7395043912191264,0.6212703211737788,0.7788684864179393
22,0.7442405852136323,0.6178770225719555,0.7799750071998207
23,0.7429590268386485,0.6263222547629816,0.7923553400822939
24,0.7429590268386485,0.6245549006442416,0.7923553400822939
25,0.7429590268386485,0.6234081420431802,0.7923553400822939
26,0.7429590268386485,0.6238346590655928,0.7923553400822939
27,0.7429590268386485,0.6239356663719718,0.7923553400822939
28,0.7429590268386485,0.6239787297115523,0.7923553400822939
29,0.7429590268386485,0.6239763035720026,0.7923553400822939
30,0.7429590268386485,0.6239777813022002,0.7923553400822939
31,0.7429590268386485,0.6239777813022002,0.7923553400822939
32,0.7429590268386485,0.6239777813022002,0.7923553400822939
33,0.7429590268386485,0.6239777813022002,0.7923553400822939
34,0.7429590268386485,0.6239777813022002,0.7923553400822939
35,0.7429590268386485,0.6239777813022002,0.7923553400822939
36,0.7429590268386485,0.6239777813022002,0.7923553400822939
37,0.7429590268386485,0.6239777813022002,0.7923553400822939
38,0.7429590268386485,0.6239777813022002,0.7923553400822939
39,0.7429590268386485,0.6239777813022002,0.7923553400822939
40,0.7429590268386485,0.6239777813022002,0.7923553400822939
41,0.7429590268386485,0.6239777813022002,0.7923553400822939
42,0.7429590268386485,0.6239777813022002,0.7923553400822939
43,0.7429590268386485,0.6239777813022002,0.7923553400822939
44,0.7429590268386485,0.6239777813022002,0.7923553400822939
45,0.7429590268386485,0.6239777813022002,0.7923553400822939
46,0.7429590268386485,0.6239777813022002,0.7923553400822939
47,0.7429590268386485,0.6239777813022002,0.7923553400822939
48,0.7429590268386485,0.6239777813022002,0.7923553400822939
49,0.7429590268386485,0.6239777813022002,0.7923553400822939
50,0.7429590268386485,0.6239777813022002,0.7923553400822939
