n_estimators,HR,MAE,nDCG
1,0.6652608873418883,1.6023799039034037,0.6276094660810198
2,0.7351261431933034,1.4993526888241704,0.694489098336252
3,0.753456124758579,1.4860611366104939,0.7116093349062039
4,0.7677544862436412,1.4779702635385095,0.7229714156107481
5,0.7756191705789138,1.4742886407354931,0.7330735630942998
6,0.7826562511454063,1.4635387606972035,0.740355720751839
7,0.7826562511454063,1.4635387606972035,0.740355720751839
8,0.7826562511454063,1.466341906067311,0.7413693099182209
9,0.7889175792060422,1.477318563804447,0.7441374760081864
10,0.7889175792060422,1.477318563804447,0.7441374760081864
11,0.7889175792060422,1.477318563804447,0.7441374760081864
12,0.7889175792060422,1.477318563804447,0.7441374760081864
13,0.7889175792060422,1.477318563804447,0.7441374760081864
14,0.7889175792060422,1.477318563804447,0.7441374760081864
15,0.7889175792060422,1.477318563804447,0.7441374760081864
16,0.7889175792060422,1.477318563804447,0.7441374760081864
17,0.7889175792060422,1.477318563804447,0.7441374760081864
18,0.7889175792060422,1.477318563804447,0.7441374760081864
19,0.7889175792060422,1.477318563804447,0.7441374760081864
20,0.7889175792060422,1.477318563804447,0.7441374760081864
21,0.7889175792060422,1.477318563804447,0.7441374760081864
22,0.7889175792060422,1.477318563804447,0.7441374760081864
23,0.7889175792060422,1.477318563804447,0.7441374760081864
24,0.7889175792060422,1.477318563804447,0.7441374760081864
25,0.7889175792060422,1.477318563804447,0.7441374760081864
26,0.7889175792060422,1.477318563804447,0.7441374760081864
27,0.7889175792060422,1.477318563804447,0.7441374760081864
28,0.7889175792060422,1.477318563804447,0.7441374760081864
29,0.7889175792060422,1.477318563804447,0.7441374760081864
30,0.7889175792060422,1.477318563804447,0.7441374760081864
31,0.7889175792060422,1.477318563804447,0.7441374760081864
32,0.7923777868184991,1.481260077289044,0.7480664859423308
33,0.7923777868184991,1.481260077289044,0.7480664859423308
34,0.7923777868184991,1.4767598612356947,0.7491261473435482
35,0.7944786271546335,1.474520949219049,0.7510869316572737
36,0.7986803078269025,1.4741133278270788,0.7551530742433403
37,0.7986803078269025,1.4741133278270788,0.7551530742433403
38,0.7986803078269025,1.4741133278270788,0.7551530742433403
39,0.7986803078269025,1.4741133278270788,0.7551530742433403
40,0.7986803078269025,1.4741133278270788,0.7551530742433403
41,0.7986803078269025,1.4741133278270788,0.7551530742433403
42,0.7986803078269025,1.4741133278270788,0.7551530742433403
43,0.7986803078269025,1.4741133278270788,0.7551530742433403
44,0.7986803078269025,1.4741133278270788,0.7551530742433403
45,0.7986803078269025,1.4741133278270788,0.7551530742433403
46,0.7986803078269025,1.4741133278270788,0.7551530742433403
47,0.7986803078269025,1.4741133278270788,0.7551530742433403
48,0.7986803078269025,1.4741133278270788,0.7551530742433403
49,0.7986803078269025,1.4741133278270788,0.7551530742433403
50,0.7986803078269025,1.4741133278270788,0.7551530742433403
