max_depth,HR,MAE,nDCG
1,0.6012819502921986,0.8236680095199064,0.7018554252867358
2,0.6914005460772087,0.6848120640365122,0.7225721860307734
3,0.7482965488509213,0.6937414799989066,0.7642779489254704
4,0.7696066645664077,0.6697688120304465,0.7745593890528449
5,0.7756191705789138,0.6618199489089275,0.7722918161966116
6,0.7777257721664844,0.6656567232554539,0.772083487332875
7,0.7778942887709871,0.6654909303285995,0.7722269457954987
8,0.7778942887709871,0.6648775917434557,0.7699507381885389
9,0.7778942887709871,0.6649150624256768,0.7699507381885389
10,0.7778942887709871,0.6649150624256768,0.7699507381885389
11,0.7778942887709871,0.6649150624256768,0.7699507381885389
12,0.7778942887709871,0.6649150624256768,0.7699507381885389
13,0.7778942887709871,0.6649150624256768,0.7699507381885389
14,0.7778942887709871,0.6649150624256768,0.7699507381885389
15,0.7778942887709871,0.6649150624256768,0.7699507381885389
16,0.7778942887709871,0.6649150624256768,0.7699507381885389
17,0.7778942887709871,0.6649150624256768,0.7699507381885389
18,0.7778942887709871,0.6649150624256768,0.7699507381885389
19,0.7778942887709871,0.6649150624256768,0.7699507381885389
20,0.7778942887709871,0.6649150624256768,0.7699507381885389
21,0.7778942887709871,0.6649150624256768,0.7699507381885389
22,0.7778942887709871,0.6649150624256768,0.7699507381885389
23,0.7778942887709871,0.6649150624256768,0.7699507381885389
24,0.7778942887709871,0.6649150624256768,0.7699507381885389
25,0.7778942887709871,0.6649150624256768,0.7699507381885389
26,0.7778942887709871,0.6649150624256768,0.7699507381885389
27,0.7778942887709871,0.6649150624256768,0.7699507381885389
28,0.7778942887709871,0.6649150624256768,0.7699507381885389
29,0.7778942887709871,0.6649150624256768,0.7699507381885389
30,0.7778942887709871,0.6649150624256768,0.7699507381885389
31,0.7778942887709871,0.6649150624256768,0.7699507381885389
32,0.7778942887709871,0.6649150624256768,0.7699507381885389
33,0.7778942887709871,0.6649150624256768,0.7699507381885389
34,0.7778942887709871,0.6649150624256768,0.7699507381885389
35,0.7778942887709871,0.6649150624256768,0.7699507381885389
36,0.7778942887709871,0.6649150624256768,0.7699507381885389
37,0.7778942887709871,0.6649150624256768,0.7699507381885389
38,0.7778942887709871,0.6649150624256768,0.7699507381885389
39,0.7778942887709871,0.6649150624256768,0.7699507381885389
40,0.7778942887709871,0.6649150624256768,0.7699507381885389
41,0.7778942887709871,0.6649150624256768,0.7699507381885389
42,0.7778942887709871,0.6649150624256768,0.7699507381885389
43,0.7778942887709871,0.6649150624256768,0.7699507381885389
44,0.7778942887709871,0.6649150624256768,0.7699507381885389
45,0.7778942887709871,0.6649150624256768,0.7699507381885389
46,0.7778942887709871,0.6649150624256768,0.7699507381885389
47,0.7778942887709871,0.6649150624256768,0.7699507381885389
48,0.7778942887709871,0.6649150624256768,0.7699507381885389
49,0.7778942887709871,0.6649150624256768,0.7699507381885389
50,0.7778942887709871,0.6649150624256768,0.7699507381885389
