num_leaves,HR,MAE,nDCG
2,0.5606036019912906,0.920770218707144,0.6220421865420775
3,0.7141186999152869,0.7431273411302468,0.720801606135411
4,0.6999520542465245,0.7100594853794598,0.754382874470968
5,0.7315858616156262,0.6781647956616197,0.7766478548724808
6,0.7226946145005497,0.6727889732752456,0.7676491230765299
7,0.7093788569516146,0.662543216553649,0.7643028737313735
8,0.7276119188305006,0.6715515752818219,0.7730540099486396
9,0.7126047125112298,0.6624572429012848,0.763572117669181
10,0.699165476516213,0.6745743250586116,0.7515758644887602
11,0.7127261748892844,0.6491931906009549,0.7750979703918919
12,0.7109341087374865,0.6544406114699668,0.771386987603825
13,0.7249843274871937,0.6333037685119437,0.7847453494090499
14,0.7278177012549532,0.6352345823902484,0.7851848741480426
15,0.7151214300735864,0.6479577344339684,0.7714525901775988
16,0.7079725616075824,0.652431087667794,0.7714519895250836
17,0.697472570275948,0.656728288046194,0.7632999964657465
18,0.6972840333227053,0.6549706586260217,0.7612242941088704
19,0.7192920338473299,0.6389040064736483,0.7822705816750863
20,0.7004137467465362,0.6536636496849056,0.7635775823303613
21,0.7036000212563402,0.6508792154660165,0.7722097208895604
22,0.699923550668105,0.6525067388009519,0.7671127608321859
23,0.702185994107019,0.6517578981961516,0.7676856362333465
24,0.7001575965410961,0.6530258940275369,0.7673624027815998
25,0.7024200399800101,0.6502965002206502,0.7705754700151604
26,0.7001575965410961,0.6522462498426558,0.766531733449917
27,0.7060965105682454,0.649627127502259,0.7726836052379565
28,0.6977066161489391,0.6511865967422741,0.766531733449917
29,0.6977066161489391,0.6522627409210483,0.766531733449917
30,0.6977066161489391,0.6522627409210483,0.766531733449917
31,0.6977066161489391,0.6522627409210483,0.766531733449917
32,0.6977066161489391,0.6522627409210483,0.766531733449917
33,0.6977066161489391,0.6522627409210483,0.766531733449917
34,0.6977066161489391,0.6522627409210483,0.766531733449917
35,0.6977066161489391,0.6522627409210483,0.766531733449917
36,0.6977066161489391,0.6522627409210483,0.766531733449917
37,0.6977066161489391,0.6522627409210483,0.766531733449917
38,0.6977066161489391,0.6522627409210483,0.766531733449917
39,0.6977066161489391,0.6522627409210483,0.766531733449917
40,0.6977066161489391,0.6522627409210483,0.766531733449917
41,0.6977066161489391,0.6522627409210483,0.766531733449917
42,0.6977066161489391,0.6522627409210483,0.766531733449917
43,0.6977066161489391,0.6522627409210483,0.766531733449917
44,0.6977066161489391,0.6522627409210483,0.766531733449917
45,0.6977066161489391,0.6522627409210483,0.766531733449917
46,0.6977066161489391,0.6522627409210483,0.766531733449917
47,0.6977066161489391,0.6522627409210483,0.766531733449917
48,0.6977066161489391,0.6522627409210483,0.766531733449917
49,0.6977066161489391,0.6522627409210483,0.766531733449917
50,0.6977066161489391,0.6522627409210483,0.766531733449917
