,fold,role,familiarity,test set size,hit number,HR,MAE
0,3,staff,familiar,13,9,0.6923076923076923,1.2668486184489904
1,3,staff,unfamiliar,14,12,0.8571428571428571,1.2254622844592877
2,3,student,familiar,11,8,0.7272727272727273,1.4512755907520227
3,3,student,unfamiliar,13,13,1.0,1.251127511565603
