,fold,role,familiarity,test set size,hit number,HR,MAE
0,9,staff,familiar,10,4,0.4,1.690689142649267
1,9,staff,unfamiliar,9,7,0.7777777777777778,1.3320871666270404
2,9,student,familiar,13,10,0.7692307692307693,1.270802656644256
3,9,student,unfamiliar,14,11,0.7857142857142857,0.9436002172216486
