,fold,role,familiarity,test set size,hit number,HR,MAE
0,13,staff,familiar,14,9,0.6428571428571429,1.5039190105255553
1,13,staff,unfamiliar,15,12,0.8,1.598908445551787
2,13,student,familiar,11,10,0.9090909090909091,1.294396853585205
3,13,student,unfamiliar,11,10,0.9090909090909091,1.294396853585205
