,fold,role,familiarity,test set size,hit number,HR
0,8,staff,familiar,10,5,0.5
1,8,staff,unfamiliar,10,4,0.4
2,8,student,familiar,8,2,0.25
3,8,student,unfamiliar,7,5,0.7142857142857143
