,fold,role,familiarity,test set size,hit number,HR
0,10,staff,familiar,16,5,0.3125
1,10,staff,unfamiliar,16,14,0.875
2,10,student,familiar,13,12,0.9230769230769231
3,10,student,unfamiliar,13,12,0.9230769230769231
