candidate,role,color,intensity,shape_size,integration,choice,control,visibility,proximity2dp,proximity2fe,proximity2be,uniqueness,wellknownness,relevance,frequency
Elevator,1,0.489618476,0.416027341,1.8,0.009746448,62845.75,3.666666667,260,0.651451755,0.856565682,0.047258953,0.5,58000000,0.394557823,4.78
H38,1,0.563656556,0.348386597,5.9,0.007743846,0,0.5,208,0.14369198,0.033048572,0.032677257,0.25,63800000,0.327179487,1
H67,1,0.725668609,0.449890855,6.3,0.008736772,0,1,187,0.061114766,0.176733014,0.093176606,1,1500000000,0.609756098,0
H79,1,0.746433712,0.324739322,14.25,0.008169363,0,1.5,156,0.120033169,0.050562659,0.027952481,0.25,63800000,0.327179487,1.18
H92,1,0.585793131,0.337453096,14.26,0.007396689,0,0.833333333,97,0.118894277,0.023613684,0.016702971,0.25,63800000,0.327179487,1
J10,1,0.646754072,0.350476201,3.1,0.008178507,0,0.5,118,0.731937684,0.033312934,0.0165706,0.5,376000000,0.473551637,1.58
J39,1,0.377588763,0.181525375,14.16,0.008244154,0,1,80,0.068472621,0.036971486,0.017428481,1,1,0,1
J41,1,0.469346543,0.135089996,6.96,0.00845389,738,1.5,80,0.088454945,0.050213558,0.018421225,0.33,434000000,0.61212976,1.8
K13,1,0.754013649,0.57870183,5.14,0.007425483,0,1.333333333,134,0.434524543,0.03564241,0.009626819,0.25,182000000,0.524495677,1.29
K32,1,0.442128935,0.402337021,1.93,0.005510455,3902.375,1.333333333,22,0.15620109,0.046857664,0.012591967,1,1520000000,0.617886179,2
L11,1,0.380933589,0.22212551,7.07,0.007135878,0,1,127,0.778695112,0.036903681,0.008826254,1,204000000,0.894736842,5.17
L12,1,0.650903102,0.253896266,2.16,0.003421372,0,0.5,114,0.413500394,0.03656541,0.008556921,1,4970000,0.477884615,1.14
L26,1,0.334720684,0.255126911,3.48,0.007586252,0,1,80,0.057462681,0.028838419,0.01055642,0.33,434000000,0.61212976,2
L40,1,0.279393438,0.148377514,3.48,0.008208599,0,0.5,80,0.05348948,0.042275667,0.01428903,0.33,434000000,0.61212976,1.67
WC-H,1,0.517604335,0.238701477,1.79,0.007309111,0,0.5,51,0.147654293,0.043145395,0.013719124,0.25,63600000,0.365517241,3.33
WC-J,1,0.55112047,0.533234084,1.79,0.00796711,0,0.5,54,0.182069248,0.029287251,0.015510122,0.25,63600000,0.365517241,6.75
WC-K,1,0.689998989,0.515642438,1.79,0.007530677,0,0.5,34,0.181839312,0.043789728,0.009638743,0.25,63600000,0.365517241,3
WC-L,1,0.550912589,0.464246855,1.79,0.007353901,0,0.5,63,0.181928676,0.043917386,0.009104835,0.25,63600000,0.365517241,6.82
