removed_feature,HR,MAE,,
visibility,0.857142857,1.30998672,0.696815362,1.47939848
visibility,0.565217391,1.584939196,,
visibility,0.851851852,1.235772386,,
visibility,0.75,1.301228697,,
visibility,0.409090909,1.540099175,,
visibility,0.8,1.878805708,,
visibility,0.875,1.144352951,,
visibility,0.705882353,1.428393776,,
visibility,0.782608696,1.308700477,,
visibility,0.793103448,1.127508774,,
visibility,0.428571429,1.73309962,,
visibility,0.4,2.029721817,,
visibility,0.769230769,1.444003126,,
visibility,0.823529412,1.459298115,,
visibility,0.772727273,1.226820885,,
visibility,0.761904762,1.474438178,,
visibility,0.5,1.922604554,,
