number,HR,MAE
1,0.032220216,-0.032443891
2,0.024393096,-0.068223303
3,0.00798125,-0.021910974
4,0.03430677,-0.05647478
5,0.020651664,-0.048516892
6,0.011539749,-0.010284911
7,0.004728392,-0.038190123
8,0.001351979,-0.035779287
9,0.009103027,-0.053297059
10,0.008982617,-0.036395489
11,0.003380376,-0.042689104
12,0.003380376,-0.042689104
