removed_feature,HR,MAE,,
visibility,0.708333333,1.434900099,,
visibility,0.714285714,1.550712209,,
visibility,0.833333333,1.167593794,,
visibility,0.6,2.078104307,,
visibility,0.875,1.240697623,,
visibility,0.722222222,1.499365897,,
visibility,0.782608696,1.345856814,,
visibility,0.862068966,1.128384003,,
visibility,0.7,1.575738465,,
visibility,0.4,1.749804529,,
visibility,0.64,1.538148512,,
visibility,0.8125,1.525010794,,
visibility,0.875,1.425391604,,
visibility,0.666666667,1.530026448,,
visibility,0.6,1.570595393,,
