number,HR,MAE
0,0.737332847,1.433477172
1,0.701922447,1.565838877
2,0.704062869,1.575387316
3,0.587638753,1.692290564
4,0.632258613,1.617613022
5,0.663241697,1.578032962
6,0.663008337,1.576738501
7,0.64617047,1.593293321
8,0.6497006,1.567398919
9,0.663652335,1.561452995
10,0.636165164,1.609516417
11,0.55698228,1.90295072
