number,HR,MAE
1,0.722165639,1.505449223
2,0.731479365,1.495665427
3,0.722098026,1.498266716
4,0.740865533,1.459835356
5,0.739114833,1.459940753
6,0.74315007,1.459845032
7,0.730324248,1.45904478
8,0.741702015,1.430560994
9,0.764866917,1.41569371
10,0.712454933,1.453752292
11,0.718082562,1.492808492
