number,HR,MAE
1,0.782539586,1.468046725
2,0.782539586,1.468046725
3,0.776937345,1.46175311
4,0.773243091,1.473006286
5,0.769186296,1.473192414
6,0.776362052,1.468993922
7,0.791586871,1.396356763
8,0.782260874,1.415578894
9,0.780286439,1.405199839
10,0.763450655,1.38086105
11,0.696815362,1.47939848
