number,HR,MAE
0,0.737332847,1.433477172
1,0.722165639,1.505449223
2,0.731479365,1.495665427
3,0.736731465,1.498461225
4,0.731829505,1.494576208
5,0.699858652,1.499592256
6,0.719851649,1.459853577
7,0.730324248,1.45904478
8,0.741702015,1.430560994
9,0.764866917,1.41569371
10,0.712454933,1.453752292
11,0.718082562,1.492808492
