number,HR,MAE
0,0.785919962,1.425357621
1,0.753699746,1.457801512
2,0.738065768,1.474132829
3,0.736453463,1.460728647
4,0.741485421,1.457429879
5,0.747856432,1.427050777
6,0.736657689,1.403326035
7,0.750490857,1.410125858
8,0.68590689,1.50411691
9,0.701366276,1.459721259
10,0.631889941,1.595077773
11,0.637697763,1.585656256
