fold,learning_rate,max_depth,n_estimators,num_leaves
1,0.2,5,5,15
2,0.06,5,10,5
3,0.1,10,5,10
4,0.02,5,10,5
5,0.06,5,5,5
6,0.02,5,5,5
7,0.12,5,5,5
8,0.04,5,5,10
9,0.06,5,5,10
10,0.1,5,20,5
11,0.04,5,5,5
12,0.14,10,5,15
13,0.02,5,5,10
14,0.16,10,5,15
15,0.18,5,5,20
16,0.18,5,5,10
17,0.04,5,5,5
