name,visibility
Elevator,260
H38,208
H67,187
H79,156
H92,97
WC-H,51
J10,118
J39,80
J40,80
WC-J,54
WC-K,34
K32,22
K13,134
L11,127
L12,114
L26,80
L40,80
WC-L,63
