PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff,str_diff,sem_diff,sign_diff,fre_diff,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
STU01,male,25,83,master,66, , , ,L40,WC-J,WC-J,WC-J,-1,-1,-1.79506291992698,-1.2333060289742,-2.30530267377455,-2.08682503092076,-2.63117405792109,-1.452368755,-1.871803845,-2.06101616,0,-1.463850109,-2.236067977,-2.341416986,-2.416161799,-2.158329237,-2.086825031,-2.631174058
STU01,male,25,83,master,66, , , ,L40,J10,J10,J10,-1,-1,-1.14996995965266,-1.04696703084921,-1.09451692332397,-.347804171820126,-.438529009653515,-.968245837,-.935901923,-1.54576212,0,-1.463850109,-1.677050983,-.780472329,-1.208080899,-1.294997542,-.347804172,-.43852901
STU01,male,25,83,master,66, , , ,L40,K32,K32, ,-1, ,-2.27379518588052,-1.47728104721133,-2.30530267377455,-2.08682503092076,-.877058019307029,-2.420614591,-2.339754807,-2.06101616,0,-2.195775164,-2.236067977,-2.341416986,-2.416161799,-2.158329237,-2.086825031,-.877058019
STU01,male,25,83,master,66, , , ,L40,L11,L40,L40,1,1,-.327735000412764,-.372677996249965,-1.10002183845252,-.347804171820126,-1.31558702896054,0,-.467950961,-.51525404,0,0,-1.118033989,-1.170708493,-.402693633,-1.726663389,-.347804172,-1.315587029
STU01,male,25,83,master,66, , , ,L40,H38,H38,H38,-1,-1,-2.28417222643172,-2.48011662626404,-1.18316596180994,0,0,-1.936491673,-2.339754807,-2.5762702,-2.449489743,-2.195775164,-2.795084972,-2.341416986,-1.208080899,0,0,0
STU01,male,25,83,master,66, , , ,WC-J,J10,J10,WC-J,-1,1,.645092960274322,.186338998124982,1.21078575045058,1.73902085910063,2.19264504826757,.484122918,.935901923,.51525404,0,0,.559016994,1.560944657,1.208080899,.863331695,1.739020859,2.192645048
STU01,male,25,83,master,66, , , ,WC-J,K32,K32,K32,-1,-1,-.478732265953534,-.243975018237133,0,0,1.75411603861406,-.968245837,-.467950961,0,0,-.731925055,0,0,0,0,0,1.754116039
STU01,male,25,83,master,66, , , ,WC-J,L11,WC-J,WC-J,1,1,1.46732791951422,.860628032724232,1.20528083532203,1.73902085910063,1.31558702896054,1.452368755,1.403852884,1.54576212,0,1.463850109,1.118033989,1.170708493,2.013468166,.431665847,1.739020859,1.315587029
STU01,male,25,83,master,66, , , ,WC-J,H38,H38,H38,-1,-1,-.48910930650474,-1.24681059728984,1.12213671196461,2.08682503092076,2.63117405792109,-.484122918,-.467950961,-.51525404,-2.449489743,-.731925055,-.559016994,0,1.208080899,2.158329237,2.086825031,2.631174058
STU01,male,25,83,master,66, , , ,J10,K32,J10,K32,1,-1,-1.12382522622786,-.430314016362116,-1.21078575045058,-1.73902085910063,-.438529009653515,-1.452368755,-1.403852884,-.51525404,0,-.731925055,-.559016994,-1.560944657,-1.208080899,-.863331695,-1.739020859,-.43852901
STU01,male,25,83,master,66, , , ,J10,L11,J10,J10,1,1,.822234959239897,.674289034599249,-.00550491512854982,0,-.877058019307029,.968245837,.467950961,1.03050808,0,1.463850109,.559016994,-.390236164,.805387266,-.431665847,0,-.877058019
