PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff_1,str_diff_1,sem_diff_1,sign_diff_1,fre_diff_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
FS015,female,31,70,scientific staff,70,J,74, ,J10,L40,L40,J10,-1,1,1.39607018880715,.2183097158052,-.47345544528419,-.534522483824849,-.412861411922385,1.118033989,1.328422328,1.741754249,2.236067977,-1.58113883,0,-.790569415,.387298335,-1.017095255,-.534522484,-.412861412
FS015,female,31,70,scientific staff,70,J,74, ,J10,L11,L11,J10,-1,1,.387056499858092,-.812267136686123,-1.07068608684176,-1.0690449676497,-1.23858423576716,0,0,1.1611695,0,-3.16227766,.72547625,-.790569415,-.387298335,-2.034190511,-1.069044968,-1.238584236
FS015,female,31,70,scientific staff,70,J,74, ,J10,H92,H92,H92, ,-1,1.42394566026313,.943785965915212,.909020362715268,0,0,1.118033989,1.992633492,1.1611695,2.236067977,-1.58113883,2.17642875,.790569415,1.936491673,0,0,0
FS015,female,31,70,scientific staff,70,J,74, ,J10,WC-J,WC-J,J10,-1,1,-.787609967564035,-.396193697148102,-1.07068608684176,-2.67261241912424,-2.47716847153431,-1.118033989,-.664211164,-.58058475,1.118033989,-1.58113883,-.72547625,-.790569415,-.387298335,-2.034190511,-2.672612419,-2.477168472
FS015,female,31,70,scientific staff,70,J,74, ,J10,H38, ,J10, ,1,-.566206246179011,-.154368280444765,1.04344405618905,-.534522483824849,0,-1.118033989,0,-.58058475,1.118033989,-1.58113883,0,1.58113883,1.549193338,0,-.534522484,0
FS015,female,31,70,scientific staff,70,J,74, ,L40,L11,L11,L11,-1,-1,-1.00901368894906,-1.03057685249132,-.597230641557566,-.534522483824849,-.825722823844771,-1.118033989,-1.328422328,-.58058475,-2.236067977,-1.58113883,.72547625,0,-.774596669,-1.017095255,-.534522484,-.825722824
FS015,female,31,70,scientific staff,70,J,74, ,L40,H92,H92,H92, ,-1,.027875471455978,.725476250110012,1.38247580799946,.534522483824849,.412861411922385,0,.664211164,-.58058475,0,0,2.17642875,1.58113883,1.549193338,1.017095255,.534522484,.412861412
FS015,female,31,70,scientific staff,70,J,74, ,L40,WC-J,WC-J,WC-J,-1,-1,-2.18368015637118,-.614503412953302,-.597230641557566,-2.1380899352994,-2.06430705961193,-2.236067977,-1.992633492,-2.322338999,-1.118033989,0,-.72547625,0,-.774596669,-1.017095255,-2.138089935,-2.06430706
FS015,female,31,70,scientific staff,70,J,74, ,L40,H38,H38,H38,-1,-1,-1.96227643498616,-.372677996249965,1.51689950147324,0,.412861411922385,-2.236067977,-1.328422328,-2.322338999,-1.118033989,0,0,2.371708245,1.161895004,1.017095255,0,.412861412
FS015,female,31,70,scientific staff,70,J,74, ,L11,H92,L11,H92,1,-1,1.03688916040504,1.75605310260133,1.97970644955702,1.0690449676497,1.23858423576716,1.118033989,1.992633492,0,2.236067977,1.58113883,1.4509525,1.58113883,2.323790008,2.034190511,1.069044968,1.238584236
FS015,female,31,70,scientific staff,70,J,74, ,L11,WC-J,WC-J,WC-J, ,-1,-1.17466646742213,.416073439538021,0,-1.60356745147455,-1.23858423576716,-1.118033989,-.664211164,-1.741754249,1.118033989,1.58113883,-1.4509525,0,0,0,-1.603567451,-1.238584236
FS015,female,31,70,scientific staff,70,J,74, ,L11,H38,L11,H38,1,-1,-.953262746037103,.657898856241358,2.11413014303081,.534522483824849,1.23858423576716,-1.118033989,0,-1.741754249,1.118033989,1.58113883,-.72547625,2.371708245,1.936491673,2.034190511,.534522484,1.238584236
