,fold,role,familiarity,test set size,hit number,HR
0,5,staff,familiar,12,4,0.3333333333333333
1,5,staff,unfamiliar,11,6,0.5454545454545454
2,5,student,familiar,12,8,0.6666666666666666
3,5,student,unfamiliar,11,7,0.6363636363636364
