,fold,role,familiarity,test set size,hit number,HR,MAE
0,3,staff,familiar,13.0,10,0.7692307692307693,0.9074733578093409
1,3,staff,unfamiliar,14.0,8,0.5714285714285714,0.9140824036801023
2,3,student,familiar,11.0,6,0.5454545454545454,0.8685699566107139
3,3,student,unfamiliar,13.0,6,0.46153846153846156,0.8118668863629116
