,fold,role,familiarity,test set size,hit number,HR,MAE
0,13,staff,familiar,14.0,5,0.35714285714285715,0.883471077476356
1,13,staff,unfamiliar,15.0,3,0.2,1.1595581701042592
2,13,student,familiar,11.0,1,0.09090909090909091,1.4863132183779784
3,13,student,unfamiliar,11.0,1,0.09090909090909091,1.4863132183779784
