,fold,role,familiarity,test set size,hit number,HR,MAE
0,3,staff,familiar,13.0,8,0.6153846153846154,0.674272943777603
1,3,staff,unfamiliar,14.0,3,0.21428571428571427,0.8653797615488033
2,3,student,familiar,11.0,7,0.6363636363636364,0.7899939083448818
3,3,student,unfamiliar,13.0,9,0.6923076923076923,0.6885216050938779
