,fold,role,familiarity,test set size,hit number,HR
0,11,staff,familiar,10,8,0.8
1,11,staff,unfamiliar,9,3,0.3333333333333333
2,11,student,familiar,10,5,0.5
3,11,student,unfamiliar,12,8,0.6666666666666666
