,fold,role,familiarity,test set size,hit number,HR
0,14,staff,familiar,7,4,0.5714285714285714
1,14,staff,unfamiliar,7,3,0.42857142857142855
2,14,student,familiar,9,4,0.4444444444444444
3,14,student,unfamiliar,10,2,0.2
