,fold,role,familiarity,test set size,hit number,HR
0,3,staff,familiar,13,6,0.46153846153846156
1,3,staff,unfamiliar,14,7,0.5
2,3,student,familiar,11,8,0.7272727272727273
3,3,student,unfamiliar,13,11,0.8461538461538461
