,fold,role,familiarity,test set size,hit number,HR
0,10,staff,familiar,16,15,0.9375
1,10,staff,unfamiliar,16,6,0.375
2,10,student,familiar,13,7,0.5384615384615384
3,10,student,unfamiliar,13,7,0.5384615384615384
